X1,X2,X3,X4,X5,X6,X7,X8,X9
ST-1,1,RELENTLESS - Taipan,Nathan Miller,CAP,0-0-98-0,98,658,50
ST-1,1,RELENTLESS - Taipan,Joseph Shields,CRP,0-0-96-0,96,,
ST-1,1,RELENTLESS - Taipan,Alden Basmajian,CRP,0-0-95-0,95,,
ST-1,1,RELENTLESS - Taipan,Jeroen Rijk,BON,0-0-95-0,95,,
ST-1,1,RELENTLESS - Taipan,Jason Bridges,CRP,0-0-92-0,92,,
ST-1,1,RELENTLESS - Taipan,Chris Benham,CRP,0-0-91-0,91,,
ST-1,1,RELENTLESS - Taipan,Joseph Anthony,GHT,0-0-91-0,91,,
ST-1,1,RELENTLESS - Taipan,Mark de Bruijn,CAP,0-0-88-0,88,,
ST-1,1,RELENTLESS - Taipan,James Ranger,HAB,0-0-88-0,88,,
ST-1,1,RELENTLESS - Taipan,Paul Buckland,CRP,0-0-88-0,88,,
ST-1,1,RELENTLESS - Taipan,Travis Gatesman,CAP,0-0-86-0,86,,
ST-1,1,RELENTLESS - Taipan,Cory Dams,GHT,0-0-82-0,82,,
ST-1,1,RELENTLESS - Taipan,David L Gabb,CRP,0-0-80-0,80,,
ST-1,1,RELENTLESS - Taipan,Matt Nelson,GHT,0-0-75-0,75,,
ST-1,1,RELENTLESS - Taipan,Rinus Verhelle,CAP,0-0-75-0,75,,
ST-1,1,RELENTLESS - Taipan,Jason ONeill,CRP,0-0-72-0,72,,
ST-1,1,RELENTLESS - Taipan,Philipp Diethelm,CAP,0-0-70-0,70,,
ST-1,1,RELENTLESS - Taipan,Simon Tuck,HAB,0-0-58-0,58,,
ST-1,1,RELENTLESS - Taipan,Adam Otstot,CAP,0-0-50-0,50,,
ST-1,1,RELENTLESS - Taipan,Francesco Roberto Bell,GHT,0-0-45-0,45,,
ST-1,1,RELENTLESS - Taipan,Kelsey smith,CAP,0-0-45-0,45,,
ST-1,2,ABR - ABR Bloobo webdesign,Nico Damrat,GHT,0-0-97-0,97,654,48
ST-1,2,ABR - ABR Bloobo webdesign,Andy Fyles,PEP,0-0-97-0,97,,
ST-1,2,ABR - ABR Bloobo webdesign,James Farren,HAB,0-0-96-0,96,,
ST-1,2,ABR - ABR Bloobo webdesign,Paul Corkill,PEP,0-0-95-0,95,,
ST-1,2,ABR - ABR Bloobo webdesign,John O´Callaghan,HAB,0-0-91-0,91,,
ST-1,2,ABR - ABR Bloobo webdesign,Julio Jimenez,HAB,0-0-90-0,90,,
ST-1,2,ABR - ABR Bloobo webdesign,Fabian H.,HAB,0-0-88-0,88,,
ST-1,2,ABR - ABR Bloobo webdesign,Jared Benney (ABR),CAP,0-0-88-0,88,,
ST-1,2,ABR - ABR Bloobo webdesign,Jens Bittner,BON,0-0-88-0,88,,
ST-1,2,ABR - ABR Bloobo webdesign,Leon O'Regan,CRP,0-0-88-0,88,,
ST-1,2,ABR - ABR Bloobo webdesign,Nathan Joyce,HAB,0-0-86-0,86,,
ST-1,2,ABR - ABR Bloobo webdesign,Craig Segal,CRP,0-0-84-0,84,,
ST-1,2,ABR - ABR Bloobo webdesign,Stuart Liggins,PEP,0-0-84-0,84,,
ST-1,2,ABR - ABR Bloobo webdesign,Beata Listopad,PEP,0-0-82-0,82,,
ST-1,2,ABR - ABR Bloobo webdesign,Mark Fenton,CRP,0-0-82-0,82,,
ST-1,2,ABR - ABR Bloobo webdesign,Levente Incze,BON,0-0-82-0,82,,
ST-1,2,ABR - ABR Bloobo webdesign,Gilo Clayson,CAY,0-0-80-0,80,,
ST-1,2,ABR - ABR Bloobo webdesign,Ben Mackinson,CRP,0-0-80-0,80,,
ST-1,2,ABR - ABR Bloobo webdesign,Waldemar Szewczuk,JLP,0-0-80-0,80,,
ST-1,2,ABR - ABR Bloobo webdesign,Laura Damrat,BON,0-0-78-0,78,,
ST-1,2,ABR - ABR Bloobo webdesign,Jason Garratt,BON,0-0-78-0,78,,
ST-1,2,ABR - ABR Bloobo webdesign,Valerie Pa,HAB,0-0-78-0,78,,
ST-1,2,ABR - ABR Bloobo webdesign,Tim Shields,CAP,0-0-78-0,78,,
ST-1,2,ABR - ABR Bloobo webdesign,Patricia Harrison,JLP,0-0-76-0,76,,
ST-1,2,ABR - ABR Bloobo webdesign,Karl Norris,CAP,0-0-76-0,76,,
ST-1,2,ABR - ABR Bloobo webdesign,Paola Peroni,CAY,0-0-75-0,75,,
ST-1,2,ABR - ABR Bloobo webdesign,Nathan Melvin,CAY,0-0-75-0,75,,
ST-1,2,ABR - ABR Bloobo webdesign,Virginia Graham,JLP,0-0-75-0,75,,
ST-1,2,ABR - ABR Bloobo webdesign,Dean hunt,HAB,0-0-72-0,72,,
ST-1,2,ABR - ABR Bloobo webdesign,Lillian Taylor,PEP,0-0-70-0,70,,
ST-1,2,ABR - ABR Bloobo webdesign,Niels Delahoutre,CRP,0-0-68-0,68,,
ST-1,2,ABR - ABR Bloobo webdesign,Sarah Johnson,CAY,0-0-66-0,66,,
ST-1,2,ABR - ABR Bloobo webdesign,Mark Sole,CAY,0-0-66-0,66,,
ST-1,2,ABR - ABR Bloobo webdesign,JJ,GHT,0-0-66-0,66,,
ST-1,2,ABR - ABR Bloobo webdesign,Gary Joyce,CAY,0-0-64-0,64,,
ST-1,2,ABR - ABR Bloobo webdesign,Sim Adyns,CAP,0-0-60-0,60,,
ST-1,2,ABR - ABR Bloobo webdesign,Sarah Olimb,HAB,0-0-56-0,56,,
ST-1,2,ABR - ABR Bloobo webdesign,Andy Baines,CAY,0-0-56-0,56,,
ST-1,2,ABR - ABR Bloobo webdesign,Peter Sjostrom,HAB,0-0-56-0,56,,
ST-1,2,ABR - ABR Bloobo webdesign,Richard Watson,CAP,0-0-56-0,56,,
ST-1,2,ABR - ABR Bloobo webdesign,Ralf Damrat,HAB,0-0-54-0,54,,
ST-1,2,ABR - ABR Bloobo webdesign,Bernd Mayer,HAB,0-0-50-0,50,,
ST-1,2,ABR - ABR Bloobo webdesign,Matthew Day,HAB,0-0-40-0,40,,
ST-1,2,ABR - ABR Bloobo webdesign,Rene Haber,BON,0-0-20-0,20,,
ST-1,3,OPT - Velo Optimum,David Gagnon,CAY,0-0-97-0,97,648,47
ST-1,3,OPT - Velo Optimum,Jo Laniel,PEP,0-0-96-0,96,,
ST-1,3,OPT - Velo Optimum,Mickael Vachon,JLP,0-0-95-0,95,,
ST-1,3,OPT - Velo Optimum,Michèle Jean,GHT,0-0-93-0,93,,
ST-1,3,OPT - Velo Optimum,Eric Surprenant,JLP,0-0-91-0,91,,
ST-1,3,OPT - Velo Optimum,Jonathan Doyon,CAY,0-0-88-0,88,,
ST-1,3,OPT - Velo Optimum,Guillaume Borduas,BON,0-0-88-0,88,,
ST-1,3,OPT - Velo Optimum,Charles Asselin,CAP,0-0-86-0,86,,
ST-1,3,OPT - Velo Optimum,Anne Vincent,CAY,0-0-86-0,86,,
ST-1,3,OPT - Velo Optimum,Nicolas Foisy,CAY,0-0-84-0,84,,
ST-1,3,OPT - Velo Optimum,Raphael Caron Asselin,CRP,0-0-82-0,82,,
ST-1,3,OPT - Velo Optimum,guy junior beauvais,HAB,0-0-80-0,80,,
ST-1,3,OPT - Velo Optimum,Peter Mignacca,JLP,0-0-78-0,78,,
ST-1,3,OPT - Velo Optimum,Felix Gauthier,CAP,0-0-76-0,76,,
ST-1,3,OPT - Velo Optimum,Philippe Ponsot,GHT,0-0-76-0,76,,
ST-1,3,OPT - Velo Optimum,Jean-Christophe Simard,GHT,0-0-76-0,76,,
ST-1,3,OPT - Velo Optimum,Anthony Hepworth,CAP,0-0-75-0,75,,
ST-1,3,OPT - Velo Optimum,Maxime Turcotte,GHT,0-0-75-0,75,,
ST-1,3,OPT - Velo Optimum,Catherine St-Pierre,JLP,0-0-72-0,72,,
ST-1,3,OPT - Velo Optimum,Jonathan Cloutier,BON,0-0-70-0,70,,
ST-1,3,OPT - Velo Optimum,Carl Frechette,CRP,0-0-68-0,68,,
ST-1,3,OPT - Velo Optimum,Francis McKinnon,CRP,0-0-68-0,68,,
ST-1,3,OPT - Velo Optimum,Sylvain Lafrance,CRP,0-0-68-0,68,,
ST-1,3,OPT - Velo Optimum,Cedrick Graham,CRP,0-0-66-0,66,,
ST-1,3,OPT - Velo Optimum,Mathieu Alarie,HAB,0-0-66-0,66,,
ST-1,3,OPT - Velo Optimum,Emilie Marsolais,HAB,0-0-66-0,66,,
ST-1,3,OPT - Velo Optimum,Guillaume Lamy,CRP,0-0-66-0,66,,
ST-1,3,OPT - Velo Optimum,Alexandre Doyon,CRP,0-0-64-0,64,,
ST-1,3,OPT - Velo Optimum,Oriane Bouchon,HAB,0-0-60-0,60,,
ST-1,3,OPT - Velo Optimum,Nicolas Boucher,CAP,0-0-56-0,56,,
ST-1,3,OPT - Velo Optimum,Charles-Olivier Laporte,CAP,0-0-56-0,56,,
ST-1,3,OPT - Velo Optimum,Anne-Marie Poisson,BON,0-0-56-0,56,,
ST-1,3,OPT - Velo Optimum,Nicolas Rafael,GHT,0-0-54-0,54,,
ST-1,3,OPT - Velo Optimum,Stephanie Lavigueur,HAB,0-0-50-0,50,,
ST-1,3,OPT - Velo Optimum,Thomas Muraton,GHT,0-0-50-0,50,,
ST-1,3,OPT - Velo Optimum,Samuel Tremblay,CAP,0-0-45-0,45,,
ST-1,3,OPT - Velo Optimum,Ann-Sophie Therrien,GHT,0-0-40-0,40,,
ST-1,3,OPT - Velo Optimum,Marc-Etienne Gagnon,BON,0-0-40-0,40,,
ST-1,3,OPT - Velo Optimum,Vincent Lavallee,GHT,0-0-40-0,40,,
ST-1,4,FRR - Spectre,Jacket,GHT,0-0-98-0,98,648,46
ST-1,4,FRR - Spectre,Gunter Haacke,JLP,0-0-97-0,97,,
ST-1,4,FRR - Spectre,Brian Glancy,HAB,0-0-94-0,94,,
ST-1,4,FRR - Spectre,Brian Walburn,JLP,0-0-93-0,93,,
ST-1,4,FRR - Spectre,H. Çelebi,CAP,0-0-92-0,92,,
ST-1,4,FRR - Spectre,Lenny Koppert,JLP,0-0-88-0,88,,
ST-1,4,FRR - Spectre,Kris Poole,CRP,0-0-86-0,86,,
ST-1,4,FRR - Spectre,Chris Harnish,GHT,0-0-84-0,84,,
ST-1,4,FRR - Spectre,Frank Schweinheim,HAB,0-0-84-0,84,,
ST-1,4,FRR - Spectre,Allan Poulsen,PEP,0-0-80-0,80,,
ST-1,4,FRR - Spectre,Colin Staats,CRP,0-0-80-0,80,,
ST-1,4,FRR - Spectre,Alexander Rühli,HAB,0-0-76-0,76,,
ST-1,4,FRR - Spectre,Petar Dashev [CAP],CAP,0-0-75-0,75,,
ST-1,4,FRR - Spectre,Diogo Calçada,CAP,0-0-72-0,72,,
ST-1,4,FRR - Spectre,CLAMOTE,CAP,0-0-72-0,72,,
ST-1,4,FRR - Spectre,Michel Pinto machado,CAP,0-0-72-0,72,,
ST-1,4,FRR - Spectre,Philipp Foerster,CAY,0-0-72-0,72,,
ST-1,4,FRR - Spectre,Maria Wiklund,BON,0-0-70-0,70,,
ST-1,4,FRR - Spectre,Roger Puig Antunez,BON,0-0-70-0,70,,
ST-1,4,FRR - Spectre,Henning | A-Team,HAB,0-0-68-0,68,,
ST-1,4,FRR - Spectre,Erik Schulz,HAB,0-0-68-0,68,,
ST-1,4,FRR - Spectre,Mathias Kemnitz,CAP,0-0-68-0,68,,
ST-1,4,FRR - Spectre,Ronnie Reynolds,HAB,0-0-68-0,68,,
ST-1,4,FRR - Spectre,Niels Cornelisse,BON,0-0-66-0,66,,
ST-1,4,FRR - Spectre,Jessica Kaiser,PEP,0-0-64-0,64,,
ST-1,4,FRR - Spectre,Ralph Matecki,HAB,0-0-64-0,64,,
ST-1,4,FRR - Spectre,Gustav Lindqvist,CAP,0-0-64-0,64,,
ST-1,4,FRR - Spectre,Fernando Cortes,GHT,0-0-64-0,64,,
ST-1,4,FRR - Spectre,Tobias Beck,CAY,0-0-62-0,62,,
ST-1,4,FRR - Spectre,Thomas Christiansen,HAB,0-0-62-0,62,,
ST-1,4,FRR - Spectre,Beretio Thebe,HAB,0-0-62-0,62,,
ST-1,4,FRR - Spectre,Kalle Kadens,CAP,0-0-60-0,60,,
ST-1,4,FRR - Spectre,Martin Coffey,GHT,0-0-58-0,58,,
ST-1,4,FRR - Spectre,Mattias Forslin,GHT,0-0-56-0,56,,
ST-1,4,FRR - Spectre,lee messenger,BON,0-0-54-0,54,,
ST-1,4,FRR - Spectre,Vladimir Lipinski,CAY,0-0-54-0,54,,
ST-1,4,FRR - Spectre,Jon Telfer,GHT,0-0-50-0,50,,
ST-1,4,FRR - Spectre,Rusty Davis,CAP,0-0-50-0,50,,
ST-1,4,FRR - Spectre,Toby Farrow,BON,0-0-45-0,45,,
ST-1,4,FRR - Spectre,Stephan Hussmann,GHT,0-0-45-0,45,,
ST-1,4,FRR - Spectre,Unknow Fellow,CAP,0-0-45-0,45,,
ST-1,4,FRR - Spectre,Mark,BON,0-0-35-0,35,,
ST-1,4,FRR - Spectre,Duende Santana,GHT,0-0-35-0,35,,
ST-1,4,FRR - Spectre,Stephan,BON,0-0-25-0,25,,
ST-1,4,FRR - Spectre,Flávia lopes,BON,0-0-20-0,20,,
ST-1,5,TFC - TFC Harriers,Michiel Kersten,PEP,0-0-100-0,100,640,45
ST-1,5,TFC - TFC Harriers,Kent Langridge,GHT,0-0-96-0,96,,
ST-1,5,TFC - TFC Harriers,Dan Dan,JLP,0-0-94-0,94,,
ST-1,5,TFC - TFC Harriers,Rosie Phillips,PEP,0-0-88-0,88,,
ST-1,5,TFC - TFC Harriers,Ike Messmore,JLP,0-0-88-0,88,,
ST-1,5,TFC - TFC Harriers,Dominic Harrison,PEP,0-0-88-0,88,,
ST-1,5,TFC - TFC Harriers,Miles Ushaw,PEP,0-0-86-0,86,,
ST-1,5,TFC - TFC Harriers,Shaun Yeoman,GHT,0-0-86-0,86,,
ST-1,5,TFC - TFC Harriers,Jeff Edwards,CAY,0-0-86-0,86,,
ST-1,5,TFC - TFC Harriers,David Hill,JLP,0-0-84-0,84,,
ST-1,5,TFC - TFC Harriers,Bob Jongeneel,HAB,0-0-82-0,82,,
ST-1,5,TFC - TFC Harriers,Danielle Gaynor,CAY,0-0-80-0,80,,
ST-1,5,TFC - TFC Harriers,Rhiannon Mulley,BON,0-0-80-0,80,,
ST-1,5,TFC - TFC Harriers,Greg Morrow,CAY,0-0-80-0,80,,
ST-1,5,TFC - TFC Harriers,Matt Sellors,JLP,0-0-80-0,80,,
ST-1,5,TFC - TFC Harriers,e Harris,CAP,0-0-80-0,80,,
ST-1,5,TFC - TFC Harriers,Andrew Dinsmore,CAP,0-0-78-0,78,,
ST-1,5,TFC - TFC Harriers,Scott Pomeroy,GHT,0-0-78-0,78,,
ST-1,5,TFC - TFC Harriers,Simon Evatt,BON,0-0-78-0,78,,
ST-1,5,TFC - TFC Harriers,Zafar Siddiqui,HAB,0-0-78-0,78,,
ST-1,5,TFC - TFC Harriers,kziere,JLP,0-0-78-0,78,,
ST-1,5,TFC - TFC Harriers,Juliette Williams,JLP,0-0-76-0,76,,
ST-1,5,TFC - TFC Harriers,Julie Woods,JLP,0-0-76-0,76,,
ST-1,5,TFC - TFC Harriers,Eric Lorenz,BON,0-0-75-0,75,,
ST-1,5,TFC - TFC Harriers,Ryan Ness,HAB,0-0-75-0,75,,
ST-1,5,TFC - TFC Harriers,Dean Hardie,HAB,0-0-75-0,75,,
ST-1,5,TFC - TFC Harriers,Bekki Seal,BON,0-0-72-0,72,,
ST-1,5,TFC - TFC Harriers,Stewart White,GHT,0-0-70-0,70,,
ST-1,5,TFC - TFC Harriers,Jon Meals,GHT,0-0-68-0,68,,
ST-1,5,TFC - TFC Harriers,Jonathan Banks,BON,0-0-68-0,68,,
ST-1,5,TFC - TFC Harriers,Matt Cromwell,BON,0-0-66-0,66,,
ST-1,5,TFC - TFC Harriers,Damon McKay,CAY,0-0-64-0,64,,
ST-1,5,TFC - TFC Harriers,Tovey Giezentanner,BON,0-0-58-0,58,,
ST-1,5,TFC - TFC Harriers,Sarah Thomas,BON,0-0-58-0,58,,
ST-1,5,TFC - TFC Harriers,Brian Monaghan,BON,0-0-58-0,58,,
ST-1,5,TFC - TFC Harriers,Michael Powell,HAB,0-0-56-0,56,,
ST-1,5,TFC - TFC Harriers,Mick Woods,HAB,0-0-56-0,56,,
ST-1,5,TFC - TFC Harriers,Karen Taplin,BON,0-0-56-0,56,,
ST-1,5,TFC - TFC Harriers,Eddie Jensen,BON,0-0-50-0,50,,
ST-1,5,TFC - TFC Harriers,Jo Lawrence,CAY,0-0-50-0,50,,
ST-1,5,TFC - TFC Harriers,Caz Kay,CAY,0-0-50-0,50,,
ST-1,5,TFC - TFC Harriers,Lar Hayden,BON,0-0-35-0,35,,
ST-1,6,REVO - REVO,Bronwyn MacGregor,BON,0-0-100-0,100,639,44
ST-1,6,REVO - REVO,Clare giles,CAY,0-0-96-0,96,,
ST-1,6,REVO - REVO,Sarah Watmore,CAY,0-0-95-0,95,,
ST-1,6,REVO - REVO,Heather Moon,PEP,0-0-88-0,88,,
ST-1,6,REVO - REVO,Jana Parsons,PEP,0-0-88-0,88,,
ST-1,6,REVO - REVO,Liz Rice,PEP,0-0-86-0,86,,
ST-1,6,REVO - REVO,Katie Isermann,JLP,0-0-86-0,86,,
ST-1,6,REVO - REVO,Tara Follett,CAY,0-0-84-0,84,,
ST-1,6,REVO - REVO,Daniella Garcia,PEP,0-0-84-0,84,,
ST-1,6,REVO - REVO,Heather Downie,BON,0-0-84-0,84,,
ST-1,6,REVO - REVO,Gail Kocher,PEP,0-0-82-0,82,,
ST-1,6,REVO - REVO,Shaz Bat,JLP,0-0-82-0,82,,
ST-1,6,REVO - REVO,Zeina Loutfi,HAB,0-0-75-0,75,,
ST-1,6,REVO - REVO,Molly Cripe Birt,PEP,0-0-75-0,75,,
ST-1,6,REVO - REVO,Alycia Staats,HAB,0-0-72-0,72,,
ST-1,6,REVO - REVO,Vivian Workman,PEP,0-0-68-0,68,,
ST-1,6,REVO - REVO,Alicia Mickes,PEP,0-0-66-0,66,,
ST-1,6,REVO - REVO,Steph waring,BON,0-0-54-0,54,,
ST-1,6,REVO - REVO,Anna Rogers,HAB,0-0-40-0,40,,
ST-1,6,REVO - REVO,Hillie Van’t Klooster,BON,0-0-20-0,20,,
ST-1,7,DRAFTDINO - Dinos,B B,PEP,0-0-98-0,98,634,43
ST-1,7,DRAFTDINO - Dinos,Susanne Battegay,PEP,0-0-93-0,93,,
ST-1,7,DRAFTDINO - Dinos,David Roberts,PEP,0-0-92-0,92,,
ST-1,7,DRAFTDINO - Dinos,Lisa McDermott,PEP,0-0-91-0,91,,
ST-1,7,DRAFTDINO - Dinos,Nikki Faulkner,JLP,0-0-88-0,88,,
ST-1,7,DRAFTDINO - Dinos,Stein Arvid,BON,0-0-86-0,86,,
ST-1,7,DRAFTDINO - Dinos,Aliseeyah,BON,0-0-86-0,86,,
ST-1,7,DRAFTDINO - Dinos,Steve Bowden,JLP,0-0-86-0,86,,
ST-1,7,DRAFTDINO - Dinos,Christoph Bosshard,CAY,0-0-82-0,82,,
ST-1,7,DRAFTDINO - Dinos,Sinead Goss,PEP,0-0-82-0,82,,
ST-1,7,DRAFTDINO - Dinos,Lyna [Dinos-JLP],JLP,0-0-80-0,80,,
ST-1,7,DRAFTDINO - Dinos,Jennifer Anderson,PEP,0-0-80-0,80,,
ST-1,7,DRAFTDINO - Dinos,Laura Sayers,CAY,0-0-78-0,78,,
ST-1,7,DRAFTDINO - Dinos,Neil Glezer-Jones,CAY,0-0-78-0,78,,
ST-1,7,DRAFTDINO - Dinos,Erin Williams,PEP,0-0-78-0,78,,
ST-1,7,DRAFTDINO - Dinos,Clare Atkinson,PEP,0-0-78-0,78,,
ST-1,7,DRAFTDINO - Dinos,Nicola Morris,PEP,0-0-78-0,78,,
ST-1,7,DRAFTDINO - Dinos,John Atkinson,BON,0-0-78-0,78,,
ST-1,7,DRAFTDINO - Dinos,Shaun Chinapen,PEP,0-0-76-0,76,,
ST-1,7,DRAFTDINO - Dinos,Dave Rossow,BON,0-0-76-0,76,,
ST-1,7,DRAFTDINO - Dinos,Kat Cat,PEP,0-0-76-0,76,,
ST-1,7,DRAFTDINO - Dinos,Garry Cooper,BON,0-0-75-0,75,,
ST-1,7,DRAFTDINO - Dinos,Moe Cascanette,JLP,0-0-75-0,75,,
ST-1,7,DRAFTDINO - Dinos,Jack Son,JLP,0-0-75-0,75,,
ST-1,7,DRAFTDINO - Dinos,Kevin Mothersole,PEP,0-0-72-0,72,,
ST-1,7,DRAFTDINO - Dinos,Isabelle Zimmermann,PEP,0-0-72-0,72,,
ST-1,7,DRAFTDINO - Dinos,Cindy McCourt,PEP,0-0-72-0,72,,
ST-1,7,DRAFTDINO - Dinos,Val Bowden,PEP,0-0-70-0,70,,
ST-1,7,DRAFTDINO - Dinos,Heather Clarke,PEP,0-0-70-0,70,,
ST-1,7,DRAFTDINO - Dinos,Robert Griffin,GHT,0-0-68-0,68,,
ST-1,7,DRAFTDINO - Dinos,Annamarie Miles,PEP,0-0-68-0,68,,
ST-1,7,DRAFTDINO - Dinos,Julz Anderson,PEP,0-0-66-0,66,,
ST-1,7,DRAFTDINO - Dinos,Sonja Zinken,PEP,0-0-64-0,64,,
ST-1,7,DRAFTDINO - Dinos,Molly Schicantek,PEP,0-0-64-0,64,,
ST-1,7,DRAFTDINO - Dinos,Netta Vogt,BON,0-0-64-0,64,,
ST-1,7,DRAFTDINO - Dinos,Maggie Carden,BON,0-0-64-0,64,,
ST-1,7,DRAFTDINO - Dinos,Cathy Collins,BON,0-0-60-0,60,,
ST-1,7,DRAFTDINO - Dinos,Annik Belanger,CAY,0-0-60-0,60,,
ST-1,7,DRAFTDINO - Dinos,Nathan McGinty,CRP,0-0-60-0,60,,
ST-1,7,DRAFTDINO - Dinos,Brett,CRP,0-0-58-0,58,,
ST-1,7,DRAFTDINO - Dinos,Dan Tice,CAY,0-0-56-0,56,,
ST-1,7,DRAFTDINO - Dinos,Richard Webster,HAB,0-0-54-0,54,,
ST-1,7,DRAFTDINO - Dinos,Joe Woodson,GHT,0-0-40-0,40,,
ST-1,7,DRAFTDINO - Dinos,Marci Cascanette,BON,0-0-40-0,40,,
ST-1,7,DRAFTDINO - Dinos,Anderson Ryan,BON,0-0-25-0,25,,
ST-1,7,DRAFTDINO - Dinos,FloWRiN [Dinos-BON],BON,0-0-25-0,25,,
ST-1,7,DRAFTDINO - Dinos,Abraham,BON,0-0-20-0,20,,
ST-1,8,WLBB - WLBB - LETOUR,Andreas Kress,CAY,0-0-100-0,100,630,42
ST-1,8,WLBB - WLBB - LETOUR,Andreas Fischer,CAY,0-0-92-0,92,,
ST-1,8,WLBB - WLBB - LETOUR,Enno Enno,JLP,0-0-92-0,92,,
ST-1,8,WLBB - WLBB - LETOUR,Gabi Leder,CAY,0-0-88-0,88,,
ST-1,8,WLBB - WLBB - LETOUR,Markus Goetz,HAB,0-0-88-0,88,,
ST-1,8,WLBB - WLBB - LETOUR,Andreas Kunath,PEP,0-0-86-0,86,,
ST-1,8,WLBB - WLBB - LETOUR,Pia Wertheimer,CAY,0-0-84-0,84,,
ST-1,8,WLBB - WLBB - LETOUR,Oliver Goßmann,CAY,0-0-82-0,82,,
ST-1,8,WLBB - WLBB - LETOUR,Patrick Wichert,BON,0-0-76-0,76,,
ST-1,8,WLBB - WLBB - LETOUR,Florian KÃ¶rber,GHT,0-0-72-0,72,,
ST-1,8,WLBB - WLBB - LETOUR,Gerhard Leeb,CAY,0-0-70-0,70,,
ST-1,9,EVOLUTION - Le Tour,John Smalley,CAY,0-0-98-0,98,627,41
ST-1,9,EVOLUTION - Le Tour,Anthony Cree,HAB,0-0-97-0,97,,
ST-1,9,EVOLUTION - Le Tour,Dave Ronan,BON,0-0-90-0,90,,
ST-1,9,EVOLUTION - Le Tour,Andrew Maljaars,GHT,0-0-88-0,88,,
ST-1,9,EVOLUTION - Le Tour,Unai Balenciaga,CRP,0-0-86-0,86,,
ST-1,9,EVOLUTION - Le Tour,Andrew Mudge,BON,0-0-84-0,84,,
ST-1,9,EVOLUTION - Le Tour,Ann-Charlotte Bivall,CAY,0-0-84-0,84,,
ST-1,9,EVOLUTION - Le Tour,Timea Cserhegyi,GHT,0-0-80-0,80,,
ST-1,9,EVOLUTION - Le Tour,Angela Stevenson,PEP,0-0-80-0,80,,
ST-1,9,EVOLUTION - Le Tour,Chris Jasinski,HAB,0-0-78-0,78,,
ST-1,9,EVOLUTION - Le Tour,Eija Kestila,BON,0-0-78-0,78,,
ST-1,9,EVOLUTION - Le Tour,Nina hodgson,BON,0-0-75-0,75,,
ST-1,9,EVOLUTION - Le Tour,Richard Jones,BON,0-0-75-0,75,,
ST-1,9,EVOLUTION - Le Tour,Julia Brook,BON,0-0-72-0,72,,
ST-1,9,EVOLUTION - Le Tour,Christopher Booth,HAB,0-0-70-0,70,,
ST-1,9,EVOLUTION - Le Tour,Amanda Hunt,PEP,0-0-68-0,68,,
ST-1,9,EVOLUTION - Le Tour,Hilary Readhead,PEP,0-0-68-0,68,,
ST-1,9,EVOLUTION - Le Tour,Andrew Smith,CAY,0-0-66-0,66,,
ST-1,9,EVOLUTION - Le Tour,Pavel Morozov,CRP,0-0-64-0,64,,
ST-1,9,EVOLUTION - Le Tour,Ossie Assem,GHT,0-0-58-0,58,,
ST-1,9,EVOLUTION - Le Tour,Dennis 7B,GHT,0-0-58-0,58,,
ST-1,9,EVOLUTION - Le Tour,Steve Ripley,HAB,0-0-50-0,50,,
ST-1,9,EVOLUTION - Le Tour,Jackie Gilbert,BON,0-0-45-0,45,,
ST-1,9,EVOLUTION - Le Tour,Jay O’Neil,BON,0-0-45-0,45,,
ST-1,9,EVOLUTION - Le Tour,Jeffrey Budden,BON,0-0-45-0,45,,
ST-1,9,EVOLUTION - Le Tour,Gary Birch,HAB,0-0-35-0,35,,
ST-1,9,EVOLUTION - Le Tour,Tony Lo,HAB,0-0-30-0,30,,
ST-1,10,SWM - SWM - LETOUR,Christian Christoph,HAB,0-0-98-0,98,626,40
ST-1,10,SWM - SWM - LETOUR,Schaub Sebastian,CRP,0-0-93-0,93,,
ST-1,10,SWM - SWM - LETOUR,Strasser Matthias,CAP,0-0-93-0,93,,
ST-1,10,SWM - SWM - LETOUR,Paul Dubienski,CRP,0-0-88-0,88,,
ST-1,10,SWM - SWM - LETOUR,Weber Mark,HAB,0-0-86-0,86,,
ST-1,10,SWM - SWM - LETOUR,Jonathan Milberg,GHT,0-0-84-0,84,,
ST-1,10,SWM - SWM - LETOUR,Schwaiger Christian,CAP,0-0-84-0,84,,
ST-1,10,SWM - SWM - LETOUR,Walter Simon,CAP,0-0-84-0,84,,
ST-1,10,SWM - SWM - LETOUR,Lukas Markard,GHT,0-0-78-0,78,,
ST-1,10,SWM - SWM - LETOUR,Ritter Moritz,CAP,0-0-76-0,76,,
ST-1,10,SWM - SWM - LETOUR,Christian Baum,CRP,0-0-76-0,76,,
ST-1,10,SWM - SWM - LETOUR,Siegfried Pfeifer,CAP,0-0-54-0,54,,
ST-1,11,OTR - Crazy8s,Taylor Gonsoulin,CRP,0-0-100-0,100,624,38
ST-1,11,OTR - Crazy8s,Matt Thomson,CAY,0-0-94-0,94,,
ST-1,11,OTR - Crazy8s,KevinJ Brown,PEP,0-0-94-0,94,,
ST-1,11,OTR - Crazy8s,Ian Greaves,BON,0-0-86-0,86,,
ST-1,11,OTR - Crazy8s,Brian Bishop,CAP,0-0-86-0,86,,
ST-1,11,OTR - Crazy8s,Mike robson,CRP,0-0-82-0,82,,
ST-1,11,OTR - Crazy8s,Ron Gallo,BON,0-0-82-0,82,,
